respondent_id,age,occupation,monthly_income,qris_experience,qris_frequency,preferred_payment,main_purchase_channel,ease_1,ease_2,ease_3,benefit_1,benefit_2,benefit_3,security_1,security_2,security_3,decision_1,decision_2,decision_3,ease_score,benefit_score,security_score,decision_score
R001,20,Student,Below 1M,Yes,Often,E-wallet without QRIS,Online,5,4,4,3,3,3,2,3,2,4,4,4,4.33,3.0,2.33,4.0
R002,24,Student,1M-2.9M,Yes,Often,E-wallet without QRIS,Both equally,3,3,3,5,5,5,4,4,4,3,3,3,3.0,5.0,4.0,3.0
R003,22,Student,3M-4.9M,Yes,Often,Cash,Offline,3,4,4,4,3,4,4,2,3,3,3,4,3.67,3.67,3.0,3.33
R004,21,Employee,3M-4.9M,Yes,Often,Bank Transfer,Online,4,4,4,5,5,5,3,3,3,4,4,4,4.0,5.0,3.0,4.0
R005,19,Student,3M-4.9M,Yes,Often,QRIS,Online,3,4,4,3,4,4,4,3,3,3,3,3,3.67,3.67,3.33,3.0
R006,19,Student,1M-2.9M,Yes,Often,QRIS,Both equally,4,4,4,4,4,4,3,4,4,1,2,2,4.0,4.0,3.67,1.67
R007,18,Self-employed,1M-2.9M,Yes,Often,E-wallet without QRIS,Both equally,4,3,3,4,5,4,4,3,4,3,3,2,3.33,4.33,3.67,2.67
R008,23,Employee,3M-4.9M,Yes,Often,QRIS,Offline,4,4,3,4,4,4,3,3,3,4,3,4,3.67,4.0,3.0,3.67
R009,21,Self-employed,Below 1M,Yes,Often,E-wallet without QRIS,Online,4,4,4,3,4,3,5,3,4,4,1,3,4.0,3.33,4.0,2.67
R010,22,Student,1M-2.9M,Yes,Often,E-wallet without QRIS,Offline,3,4,3,4,3,3,3,3,4,3,2,2,3.33,3.33,3.33,2.33
R011,18,Student,Below 1M,Yes,Often,QRIS,Online,4,3,4,4,3,5,3,2,2,2,2,3,3.67,4.0,2.33,2.33
R012,24,Student,5M or more,Yes,Often,E-wallet without QRIS,Offline,3,3,2,4,4,4,3,2,3,3,2,3,2.67,4.0,2.67,2.67
R013,23,Self-employed,5M or more,No,Never,QRIS,Offline,2,3,3,3,3,4,2,1,3,1,1,1,2.67,3.33,2.0,1.0
R014,19,Employee,Below 1M,Yes,Often,Cash,Offline,4,4,3,5,5,4,4,4,3,3,4,4,3.67,4.67,3.67,3.67
R015,19,Student,3M-4.9M,Yes,Often,Cash,Online,4,3,4,5,5,4,2,3,2,3,3,3,3.67,4.67,2.33,3.0
R016,19,Student,5M or more,Yes,Often,Bank Transfer,Offline,4,3,3,4,4,4,2,3,3,2,2,2,3.33,4.0,2.67,2.0
R017,20,Student,Below 1M,Yes,Sometimes,QRIS,Both equally,3,3,4,3,4,4,2,1,2,3,3,3,3.33,3.67,1.67,3.0
R018,21,Employee,1M-2.9M,No,Never,Cash,Online,3,4,4,4,4,5,3,4,3,3,4,4,3.67,4.33,3.33,3.67
R019,21,Other,5M or more,Yes,Rarely,Debit/Credit Card,Offline,4,4,4,3,4,3,3,3,3,5,4,5,4.0,3.33,3.0,4.67
R020,20,Student,Below 1M,No,Never,Debit/Credit Card,Both equally,3,4,3,4,4,4,4,4,4,2,2,2,3.33,4.0,4.0,2.0
R021,21,Student,1M-2.9M,Yes,Often,Debit/Credit Card,Offline,2,3,3,3,2,3,3,3,3,3,2,3,2.67,2.67,3.0,2.67
R022,19,Student,Below 1M,No,Never,QRIS,Online,3,3,4,5,4,4,4,1,2,4,4,4,3.33,4.33,2.33,4.0
R023,20,Other,5M or more,Yes,Often,QRIS,Online,5,4,3,2,3,3,4,3,3,2,1,2,4.0,2.67,3.33,1.67
R024,20,Employee,5M or more,Yes,Very often,QRIS,Offline,3,4,4,5,5,4,3,3,3,2,4,4,3.67,4.67,3.0,3.33
R025,21,Employee,5M or more,Yes,Sometimes,E-wallet without QRIS,Offline,3,3,3,3,4,4,4,4,4,3,3,3,3.0,3.67,4.0,3.0
R026,22,Student,1M-2.9M,Yes,Sometimes,QRIS,Offline,2,3,4,4,3,4,2,2,2,3,4,3,3.0,3.67,2.0,3.33
R027,19,Student,3M-4.9M,Yes,Sometimes,QRIS,Both equally,2,3,3,4,3,4,3,3,4,4,3,4,2.67,3.67,3.33,3.67
R028,21,Student,3M-4.9M,Yes,Rarely,Bank Transfer,Online,4,4,4,3,4,4,5,3,4,4,3,3,4.0,3.67,4.0,3.33
R029,21,Student,Below 1M,Yes,Often,QRIS,Online,4,5,3,5,5,3,4,4,3,4,4,4,4.0,4.33,3.67,4.0
R030,18,Employee,3M-4.9M,Yes,Sometimes,Bank Transfer,Online,3,4,2,3,2,2,3,4,3,2,2,1,3.0,2.33,3.33,1.67
R031,21,Employee,Below 1M,Yes,Often,Debit/Credit Card,Offline,3,3,4,5,5,4,3,4,4,2,2,2,3.33,4.67,3.67,2.0
R032,19,Other,1M-2.9M,Yes,Often,E-wallet without QRIS,Online,3,3,3,4,4,4,3,4,3,3,2,3,3.0,4.0,3.33,2.67
R033,18,Other,Below 1M,Yes,Often,QRIS,Both equally,4,4,4,2,3,3,3,4,3,4,3,4,4.0,2.67,3.33,3.67
R034,24,Student,Below 1M,Yes,Very often,QRIS,Offline,3,3,3,3,4,3,4,4,2,1,2,1,3.0,3.33,3.33,1.33
R035,24,Employee,Below 1M,Yes,Often,Debit/Credit Card,Offline,4,4,5,5,5,5,2,4,3,3,3,2,4.33,5.0,3.0,2.67
R036,22,Self-employed,1M-2.9M,Yes,Sometimes,E-wallet without QRIS,Offline,2,3,2,3,4,3,3,4,4,2,3,3,2.33,3.33,3.67,2.67
R037,20,Employee,Below 1M,Yes,Very often,Debit/Credit Card,Online,3,4,4,3,3,3,3,2,3,2,2,2,3.67,3.0,2.67,2.0
R038,19,Student,3M-4.9M,Yes,Very often,QRIS,Both equally,4,4,4,4,5,5,2,3,3,2,2,3,4.0,4.67,2.67,2.33
R039,22,Student,Below 1M,Yes,Sometimes,E-wallet without QRIS,Offline,4,4,4,4,4,4,2,3,2,3,3,4,4.0,4.0,2.33,3.33
R040,21,Student,Below 1M,Yes,Rarely,E-wallet without QRIS,Online,5,5,5,2,3,3,2,2,1,3,3,2,5.0,2.67,1.67,2.67
R041,19,Self-employed,1M-2.9M,Yes,Rarely,Debit/Credit Card,Offline,3,4,4,4,3,4,2,2,3,3,4,3,3.67,3.67,2.33,3.33
R042,21,Student,3M-4.9M,Yes,Sometimes,E-wallet without QRIS,Both equally,3,3,4,4,4,3,4,3,4,2,3,3,3.33,3.67,3.67,2.67
R043,18,Student,Below 1M,Yes,Very often,E-wallet without QRIS,Offline,4,4,4,4,4,5,3,3,3,3,3,3,4.0,4.33,3.0,3.0
R044,23,Student,1M-2.9M,Yes,Often,Cash,Online,2,3,3,5,4,3,3,4,3,2,1,1,2.67,4.0,3.33,1.33
R045,20,Student,3M-4.9M,No,Never,QRIS,Both equally,3,4,3,4,4,5,4,3,3,3,3,3,3.33,4.33,3.33,3.0
R046,22,Student,1M-2.9M,Yes,Sometimes,Cash,Both equally,3,3,3,4,4,5,3,3,2,3,4,3,3.0,4.33,2.67,3.33
R047,20,Student,Below 1M,Yes,Very often,QRIS,Online,5,4,5,5,5,5,5,4,4,4,3,4,4.67,5.0,4.33,3.67
R048,21,Student,Below 1M,Yes,Often,QRIS,Offline,3,3,3,4,3,3,3,4,4,3,3,3,3.0,3.33,3.67,3.0
R049,21,Student,3M-4.9M,Yes,Sometimes,QRIS,Offline,4,3,4,3,3,3,3,2,3,4,2,3,3.67,3.0,2.67,3.0
R050,19,Employee,Below 1M,Yes,Very often,QRIS,Offline,2,4,4,5,3,4,4,5,4,2,2,2,3.33,4.0,4.33,2.0
R051,24,Student,3M-4.9M,No,Never,QRIS,Offline,5,5,5,5,5,5,3,3,3,5,4,4,5.0,5.0,3.0,4.33
R052,22,Employee,1M-2.9M,Yes,Very often,QRIS,Online,3,4,3,3,2,2,3,3,4,3,4,3,3.33,2.33,3.33,3.33
R053,24,Student,5M or more,Yes,Very often,E-wallet without QRIS,Offline,5,5,4,4,3,3,2,3,2,3,3,3,4.67,3.33,2.33,3.0
R054,23,Student,3M-4.9M,No,Never,Bank Transfer,Offline,4,4,5,4,4,5,2,2,2,3,4,4,4.33,4.33,2.0,3.67
R055,21,Employee,5M or more,Yes,Often,QRIS,Online,5,3,4,5,3,3,3,3,3,2,2,3,4.0,3.67,3.0,2.33
R056,24,Student,1M-2.9M,Yes,Very often,Bank Transfer,Both equally,4,4,4,3,2,4,3,4,3,3,4,3,4.0,3.0,3.33,3.33
R057,19,Student,3M-4.9M,Yes,Sometimes,Cash,Online,4,4,3,5,5,5,3,3,3,3,3,4,3.67,5.0,3.0,3.33
R058,19,Student,1M-2.9M,Yes,Often,QRIS,Offline,2,3,2,5,5,5,2,2,2,2,3,4,2.33,5.0,2.0,3.0
R059,18,Employee,1M-2.9M,Yes,Very often,QRIS,Offline,3,4,4,4,5,4,3,2,3,3,3,3,3.67,4.33,2.67,3.0
R060,20,Student,1M-2.9M,No,Never,Cash,Both equally,4,4,4,3,4,3,4,3,4,3,3,3,4.0,3.33,3.67,3.0
R061,20,Student,3M-4.9M,Yes,Sometimes,E-wallet without QRIS,Offline,3,4,3,3,2,3,3,4,3,4,3,4,3.33,2.67,3.33,3.67
R062,20,Student,5M or more,Yes,Very often,Debit/Credit Card,Offline,3,3,3,5,4,4,4,4,3,1,2,2,3.0,4.33,3.67,1.67
R063,23,Student,3M-4.9M,Yes,Often,QRIS,Online,4,4,3,4,5,5,3,3,3,2,3,3,3.67,4.67,3.0,2.67
R064,20,Student,1M-2.9M,Yes,Rarely,QRIS,Online,5,5,4,3,4,4,5,5,4,5,4,4,4.67,3.67,4.67,4.33
R065,20,Student,1M-2.9M,Yes,Often,QRIS,Online,5,4,5,4,3,4,2,2,2,3,2,3,4.67,3.67,2.0,2.67
R066,21,Student,3M-4.9M,Yes,Sometimes,QRIS,Offline,4,4,4,4,3,4,4,4,4,4,3,4,4.0,3.67,4.0,3.67
R067,19,Student,Below 1M,Yes,Often,QRIS,Offline,5,5,4,4,3,2,4,4,5,4,5,5,4.67,3.0,4.33,4.67
R068,22,Student,Below 1M,Yes,Rarely,QRIS,Both equally,3,3,4,4,4,4,3,4,3,3,3,4,3.33,4.0,3.33,3.33
R069,18,Self-employed,1M-2.9M,Yes,Very often,E-wallet without QRIS,Offline,3,2,2,5,5,5,3,3,3,4,3,3,2.33,5.0,3.0,3.33
R070,25,Student,Below 1M,Yes,Sometimes,Bank Transfer,Online,3,3,3,2,2,3,3,3,3,2,1,1,3.0,2.33,3.0,1.33
R071,22,Student,Below 1M,Yes,Sometimes,QRIS,Both equally,5,5,4,5,4,5,4,4,4,4,4,5,4.67,4.67,4.0,4.33
R072,19,Employee,Below 1M,Yes,Sometimes,Bank Transfer,Online,4,4,4,4,4,5,2,3,3,4,3,3,4.0,4.33,2.67,3.33
R073,18,Student,Below 1M,Yes,Very often,QRIS,Offline,3,3,4,5,5,5,3,3,3,4,5,4,3.33,5.0,3.0,4.33
R074,23,Student,Below 1M,No,Never,Cash,Offline,4,3,3,3,2,3,3,3,3,2,3,2,3.33,2.67,3.0,2.33
R075,22,Employee,5M or more,Yes,Often,QRIS,Online,5,5,4,3,3,3,5,4,4,3,3,2,4.67,3.0,4.33,2.67
R076,22,Self-employed,1M-2.9M,Yes,Often,Cash,Both equally,4,4,5,3,3,3,4,3,3,4,4,5,4.33,3.0,3.33,4.33
R077,22,Student,1M-2.9M,Yes,Often,Bank Transfer,Both equally,5,5,5,4,4,4,2,3,3,2,2,2,5.0,4.0,2.67,2.0
R078,18,Self-employed,1M-2.9M,Yes,Often,Cash,Offline,3,4,3,5,5,5,3,3,3,3,3,3,3.33,5.0,3.0,3.0
R079,20,Student,Below 1M,Yes,Rarely,QRIS,Offline,4,3,4,4,4,4,3,3,2,3,3,4,3.67,4.0,2.67,3.33
R080,19,Student,5M or more,Yes,Often,Cash,Both equally,3,3,2,4,3,4,3,3,3,3,3,2,2.67,3.67,3.0,2.67
R081,23,Student,3M-4.9M,Yes,Sometimes,QRIS,Both equally,5,4,4,3,4,3,4,5,4,5,4,4,4.33,3.33,4.33,4.33
R082,21,Other,Below 1M,Yes,Very often,E-wallet without QRIS,Both equally,3,3,2,5,4,4,2,2,2,4,3,3,2.67,4.33,2.0,3.33
R083,20,Student,1M-2.9M,Yes,Very often,Cash,Offline,4,4,4,3,4,3,5,4,5,3,3,3,4.0,3.33,4.67,3.0
R084,18,Student,3M-4.9M,Yes,Sometimes,QRIS,Online,3,4,3,5,5,4,5,4,4,3,3,3,3.33,4.67,4.33,3.0
R085,20,Student,5M or more,No,Never,Cash,Both equally,2,3,5,3,4,3,4,4,4,3,3,3,3.33,3.33,4.0,3.0
R086,20,Student,1M-2.9M,Yes,Sometimes,Cash,Online,3,2,3,5,5,4,3,3,3,3,2,3,2.67,4.67,3.0,2.67
R087,22,Student,1M-2.9M,Yes,Very often,QRIS,Online,3,2,3,4,5,4,3,3,3,3,2,3,2.67,4.33,3.0,2.67
R088,21,Student,Below 1M,Yes,Sometimes,Debit/Credit Card,Offline,4,3,3,3,3,4,2,3,2,2,3,2,3.33,3.33,2.33,2.33
R089,23,Student,5M or more,Yes,Sometimes,QRIS,Online,2,4,3,5,3,3,4,2,4,2,1,2,3.0,3.67,3.33,1.67
R090,21,Student,Below 1M,Yes,Sometimes,Debit/Credit Card,Offline,5,4,4,3,3,4,4,3,3,4,3,3,4.33,3.33,3.33,3.33
R091,19,Student,5M or more,Yes,Often,E-wallet without QRIS,Online,3,3,3,3,4,4,5,5,4,2,3,3,3.0,3.67,4.67,2.67
R092,22,Student,1M-2.9M,No,Never,E-wallet without QRIS,Both equally,4,4,3,4,3,4,3,3,1,2,2,2,3.67,3.67,2.33,2.0
R093,22,Student,1M-2.9M,Yes,Very often,Cash,Offline,5,4,4,2,3,4,3,4,3,3,3,4,4.33,3.0,3.33,3.33
R094,21,Student,1M-2.9M,Yes,Sometimes,Cash,Both equally,4,4,3,4,4,4,3,4,3,4,4,5,3.67,4.0,3.33,4.33
R095,22,Employee,Below 1M,Yes,Rarely,QRIS,Offline,4,2,2,5,4,4,2,2,2,3,3,3,2.67,4.33,2.0,3.0
R096,21,Student,Below 1M,Yes,Often,E-wallet without QRIS,Online,4,3,3,2,2,2,3,3,4,3,2,2,3.33,2.0,3.33,2.33
R097,21,Student,Below 1M,Yes,Often,QRIS,Both equally,5,4,4,3,4,4,1,2,2,4,4,4,4.33,3.67,1.67,4.0
R098,21,Student,Below 1M,Yes,Sometimes,Cash,Offline,4,4,4,2,4,4,3,3,2,3,4,3,4.0,3.33,2.67,3.33
R099,18,Student,3M-4.9M,Yes,Sometimes,QRIS,Offline,3,3,4,3,3,3,4,3,3,3,3,3,3.33,3.0,3.33,3.0
R100,19,Student,1M-2.9M,No,Never,QRIS,Online,4,4,5,3,3,3,3,3,3,3,2,2,4.33,3.0,3.0,2.33
R101,18,Student,Below 1M,Yes,Very often,Cash,Offline,3,3,3,2,3,3,3,3,3,3,3,3,3.0,2.67,3.0,3.0
R102,21,Student,5M or more,Yes,Very often,QRIS,Both equally,4,4,3,3,3,3,3,3,2,4,3,3,3.67,3.0,2.67,3.33
R103,20,Student,3M-4.9M,Yes,Very often,Debit/Credit Card,Both equally,4,4,4,4,3,4,3,3,3,3,3,2,4.0,3.67,3.0,2.67
R104,21,Student,5M or more,Yes,Very often,QRIS,Online,3,3,3,5,5,5,2,3,3,4,5,5,3.0,5.0,2.67,4.67
R105,23,Student,5M or more,Yes,Sometimes,QRIS,Offline,3,4,3,3,4,4,4,4,4,2,3,2,3.33,3.67,4.0,2.33
R106,20,Student,Below 1M,Yes,Sometimes,Cash,Online,3,3,3,3,4,4,5,5,4,4,3,3,3.0,3.67,4.67,3.33
R107,20,Student,1M-2.9M,Yes,Sometimes,QRIS,Both equally,4,4,4,4,4,4,3,4,3,3,3,2,4.0,4.0,3.33,2.67
R108,22,Student,3M-4.9M,Yes,Sometimes,QRIS,Offline,4,5,4,4,3,4,4,4,3,4,4,5,4.33,3.67,3.67,4.33
R109,20,Student,1M-2.9M,Yes,Very often,Debit/Credit Card,Online,5,3,3,4,4,4,3,2,3,1,2,1,3.67,4.0,2.67,1.33
R110,18,Student,Below 1M,Yes,Very often,QRIS,Online,5,4,4,3,3,3,4,3,3,3,2,3,4.33,3.0,3.33,2.67
R111,20,Student,3M-4.9M,No,Never,E-wallet without QRIS,Online,2,2,2,5,4,5,4,3,2,2,2,2,2.0,4.67,3.0,2.0
R112,19,Employee,Below 1M,Yes,Often,QRIS,Offline,3,3,3,5,5,4,2,1,2,3,4,3,3.0,4.67,1.67,3.33
R113,24,Student,Below 1M,Yes,Sometimes,QRIS,Both equally,3,4,4,3,2,3,4,3,3,3,3,3,3.67,2.67,3.33,3.0
R114,22,Student,1M-2.9M,Yes,Very often,Debit/Credit Card,Offline,3,3,3,4,3,4,4,4,4,3,3,3,3.0,3.67,4.0,3.0
R115,21,Employee,1M-2.9M,Yes,Very often,QRIS,Offline,2,4,2,4,4,4,4,3,4,1,2,2,2.67,4.0,3.67,1.67
R116,23,Self-employed,1M-2.9M,Yes,Sometimes,QRIS,Both equally,3,2,3,3,3,3,4,3,3,5,3,4,2.67,3.0,3.33,4.0
R117,22,Student,Below 1M,No,Never,QRIS,Both equally,4,4,4,5,4,4,2,2,2,3,3,3,4.0,4.33,2.0,3.0
R118,19,Student,3M-4.9M,Yes,Very often,QRIS,Offline,4,3,4,3,3,3,3,3,3,2,3,2,3.67,3.0,3.0,2.33
R119,23,Employee,Below 1M,Yes,Sometimes,E-wallet without QRIS,Offline,3,2,1,5,5,5,3,4,2,3,3,4,2.0,5.0,3.0,3.33
R120,21,Student,Below 1M,Yes,Rarely,QRIS,Offline,3,2,3,4,5,5,3,4,3,3,3,3,2.67,4.67,3.33,3.0
R121,22,Student,3M-4.9M,Yes,Often,E-wallet without QRIS,Offline,3,3,4,4,4,4,2,2,2,2,2,2,3.33,4.0,2.0,2.0
R122,23,Student,5M or more,Yes,Often,E-wallet without QRIS,Offline,4,5,3,4,4,4,3,3,2,3,4,4,4.0,4.0,2.67,3.67
R123,20,Student,3M-4.9M,Yes,Rarely,QRIS,Offline,2,2,1,5,5,4,3,3,4,2,3,2,1.67,4.67,3.33,2.33
R124,19,Student,3M-4.9M,No,Never,Bank Transfer,Online,3,3,4,4,3,4,4,3,4,3,2,3,3.33,3.67,3.67,2.67
R125,20,Student,1M-2.9M,Yes,Sometimes,QRIS,Both equally,3,4,3,3,3,3,2,2,2,2,2,2,3.33,3.0,2.0,2.0
R126,21,Student,1M-2.9M,Yes,Very often,Bank Transfer,Online,5,4,4,3,5,4,2,3,3,3,2,2,4.33,4.0,2.67,2.33
R127,23,Student,Below 1M,Yes,Often,QRIS,Online,4,3,2,5,4,5,4,3,3,4,3,4,3.0,4.67,3.33,3.67
R128,23,Student,1M-2.9M,Yes,Often,Debit/Credit Card,Offline,4,3,4,4,4,4,4,3,4,4,3,4,3.67,4.0,3.67,3.67
R129,18,Student,1M-2.9M,Yes,Sometimes,Cash,Both equally,3,3,4,2,3,3,4,4,4,3,4,2,3.33,2.67,4.0,3.0
R130,21,Student,Below 1M,Yes,Rarely,QRIS,Both equally,2,2,3,3,5,3,4,4,4,4,3,4,2.33,3.67,4.0,3.67
R131,20,Student,3M-4.9M,Yes,Sometimes,Cash,Both equally,4,4,4,3,3,3,2,3,2,3,3,4,4.0,3.0,2.33,3.33
R132,20,Employee,1M-2.9M,Yes,Sometimes,Debit/Credit Card,Both equally,4,4,3,3,4,4,1,2,1,3,2,2,3.67,3.67,1.33,2.33
R133,19,Student,Below 1M,Yes,Sometimes,QRIS,Both equally,4,3,4,5,5,5,2,3,2,4,4,5,3.67,5.0,2.33,4.33
R134,20,Student,Below 1M,Yes,Sometimes,QRIS,Online,5,5,5,3,3,2,4,5,5,3,3,3,5.0,2.67,4.67,3.0
R135,24,Student,1M-2.9M,No,Never,Debit/Credit Card,Offline,1,2,2,4,4,5,5,5,5,3,2,2,1.67,4.33,5.0,2.33
R136,20,Student,Below 1M,Yes,Often,Debit/Credit Card,Online,4,5,5,4,4,5,4,4,4,3,3,4,4.67,4.33,4.0,3.33
R137,21,Student,3M-4.9M,Yes,Sometimes,Bank Transfer,Both equally,4,3,4,5,5,5,3,4,3,4,5,4,3.67,5.0,3.33,4.33
R138,22,Student,1M-2.9M,Yes,Very often,E-wallet without QRIS,Both equally,4,4,4,3,3,4,3,4,4,4,4,3,4.0,3.33,3.67,3.67
R139,20,Student,1M-2.9M,No,Never,Bank Transfer,Online,3,3,4,4,5,4,2,3,3,4,4,3,3.33,4.33,2.67,3.67
R140,25,Student,1M-2.9M,No,Never,Debit/Credit Card,Offline,3,3,2,4,4,4,3,4,3,4,4,4,2.67,4.0,3.33,4.0
R141,24,Student,3M-4.9M,Yes,Sometimes,QRIS,Offline,3,4,3,4,4,4,5,5,4,2,2,3,3.33,4.0,4.67,2.33
R142,20,Student,Below 1M,Yes,Often,QRIS,Both equally,4,4,4,4,4,4,2,2,3,3,3,3,4.0,4.0,2.33,3.0
R143,21,Student,1M-2.9M,Yes,Rarely,E-wallet without QRIS,Online,3,2,2,4,4,4,5,5,4,3,3,3,2.33,4.0,4.67,3.0
R144,20,Student,1M-2.9M,Yes,Often,Cash,Online,5,4,4,3,2,3,3,2,3,4,3,4,4.33,2.67,2.67,3.67
R145,20,Student,Below 1M,Yes,Rarely,QRIS,Offline,3,3,3,4,4,4,4,5,5,3,4,3,3.0,4.0,4.67,3.33
R146,18,Employee,3M-4.9M,Yes,Very often,QRIS,Offline,2,3,2,4,4,4,2,1,1,2,4,2,2.33,4.0,1.33,2.67
R147,21,Student,3M-4.9M,Yes,Very often,Bank Transfer,Both equally,4,3,4,3,3,3,4,3,4,3,4,4,3.67,3.0,3.67,3.67
R148,21,Student,1M-2.9M,Yes,Often,Cash,Online,4,5,4,5,5,5,3,3,3,5,5,4,4.33,5.0,3.0,4.67
R149,18,Employee,3M-4.9M,Yes,Rarely,QRIS,Both equally,3,3,4,4,2,4,2,2,2,2,2,2,3.33,3.33,2.0,2.0
R150,20,Student,3M-4.9M,Yes,Often,Cash,Online,5,4,4,3,4,4,4,4,3,3,4,3,4.33,3.67,3.67,3.33
R151,23,Student,3M-4.9M,Yes,Often,QRIS,Online,4,3,4,4,5,5,4,4,4,3,3,2,3.67,4.67,4.0,2.67
R152,20,Student,3M-4.9M,Yes,Sometimes,QRIS,Offline,4,5,4,3,4,3,3,3,3,1,2,1,4.33,3.33,3.0,1.33
R153,19,Student,1M-2.9M,Yes,Often,QRIS,Both equally,4,4,4,4,4,4,2,2,2,3,3,3,4.0,4.0,2.0,3.0
R154,21,Student,1M-2.9M,Yes,Very often,QRIS,Online,5,5,5,3,3,3,3,3,3,4,4,4,5.0,3.0,3.0,4.0
R155,25,Student,1M-2.9M,Yes,Often,E-wallet without QRIS,Online,4,3,4,4,4,5,3,3,4,4,4,4,3.67,4.33,3.33,4.0
R156,20,Student,3M-4.9M,No,Never,QRIS,Online,4,3,3,5,5,4,4,4,3,2,2,2,3.33,4.67,3.67,2.0
R157,22,Student,Below 1M,Yes,Very often,E-wallet without QRIS,Both equally,4,4,4,3,4,3,4,4,3,3,3,3,4.0,3.33,3.67,3.0
R158,22,Student,3M-4.9M,Yes,Very often,E-wallet without QRIS,Offline,5,4,4,3,3,3,3,3,4,2,2,2,4.33,3.0,3.33,2.0
R159,20,Student,3M-4.9M,Yes,Very often,QRIS,Both equally,4,3,4,3,3,3,5,5,5,4,3,4,3.67,3.0,5.0,3.67
R160,22,Student,Below 1M,Yes,Sometimes,Debit/Credit Card,Offline,4,4,4,3,3,4,4,4,4,3,3,3,4.0,3.33,4.0,3.0
R161,20,Student,3M-4.9M,Yes,Often,Cash,Online,4,4,4,5,4,4,2,3,2,4,3,4,4.0,4.33,2.33,3.67
R162,21,Other,Below 1M,Yes,Very often,E-wallet without QRIS,Offline,4,4,4,4,4,5,3,2,2,4,4,4,4.0,4.33,2.33,4.0
R163,21,Student,Below 1M,No,Never,QRIS,Offline,4,4,3,2,2,2,3,3,3,2,2,2,3.67,2.0,3.0,2.0
R164,21,Student,3M-4.9M,Yes,Often,Debit/Credit Card,Online,4,4,3,5,4,5,3,3,3,3,2,3,3.67,4.67,3.0,2.67
